"Country","Enrollment (%)"
"Afghanistan","110"
"Albania","93.71"
"United Arab Emirates","106"
"Argentina","109"
"Armenia","93.81"
"Antigua and Barbuda","112"
"Australia","99.13"
"Austria","101"
"Azerbaijan","102"
"Burundi","104"
"Belgium","102"
"Benin","113"
"Burkina Faso","72.32"
"Bangladesh","112"
"Bulgaria","95.89"
"Bahrain","93.74"
"Bahamas","77.93"
"Belarus","94.74"
"Belize","96.95"
"Bermuda","86.3"
"Bolivia","98.93"
"Brazil","104"
"Barbados","93.45"
"Brunei","93.49"
"Bhutan","106"
"Botswana","96.93"
"Canada","96.01"
"Switzerland","101"
"Chile","100"
"China","99.32"
"Ivory Coast","102"
"Cameroon","113"
"Congo","120"
"Republic Of The Congo","89"
"Colombia","105"
"Comoros","94.69"
"Cape Verde","96.4"
"Costa Rica","108"
"Cuba","98.41"
"Curacao","109"
"Cyprus","97"
"Czech Republic","101"
"Germany","100"
"Djibouti","64.4"
"Dominica","89.88"
"Denmark","100"
"Dominican Republic","94.72"
"Algeria","109"
"Ecuador","97.3"
"Egypt","90.31"
"Eritrea","82.97"
"Spain","102"
"Estonia","99.26"
"Ethiopia","84.47"
"European Union","101"
"Finland","98.62"
"Fiji","108"
"France","103"
"Micronesia","91.53"
"United Kingdom","102"
"Georgia","103"
"Ghana","96.53"
"Gibraltar","123"
"Guinea","97.96"
"Gambia","93.75"
"Greece","101"
"Grenada","83.4"
"Guatemala","103"
"Hong Kong","101"
"Honduras","86.55"
"Croatia","101"
"Hungary","103"
"Indonesia","100"
"India","112"
"Ireland","99.62"
"Iran","104"
"Iceland","98.51"
"Israel","96.31"
"Italy","102"
"Jamaica","84.46"
"Jordan","98.3"
"Japan","102"
"Kazakhstan","101"
"Kyrgyzstan","96.18"
"Cambodia","111"
"Kiribati","93.35"
"South Korea","99.03"
"Kuwait","82.58"
"Laos","96.76"
"St Lucia","101"
"Liechtenstein","102"
"Sri Lanka","95.92"
"Lithuania","102"
"Luxembourg","99.48"
"Latvia","99.42"
"Macau","86.42"
"Morocco","114"
"Moldova","107"
"Madagascar","136"
"Maldives","97.54"
"Mexico","102"
"Marshall Islands","105"
"Macedonia","97.49"
"Mali","74.42"
"Malta","93.53"
"Myanmar","119"
"Montenegro","106"
"Mongolia","95.78"
"Mozambique","120"
"Mauritania","112"
"Mauritius","111"
"Malawi","135"
"Malaysia","98.84"
"Niger","68.53"
"Nigeria","86.72"
"Netherlands","104"
"Norway","98.97"
"Nepal","123"
"New Zealand","96.56"
"Oman","95.56"
"Pakistan","82.68"
"Panama","94.55"
"Peru","107"
"Philippines","93.41"
"Palau","95.89"
"Papua New Guinea","110"
"Poland","101"
"Puerto Rico","83.09"
"North Korea","93.15"
"Portugal","110"
"Palestine","92.08"
"Qatar","94.98"
"Romania","84.88"
"Russia","97.75"
"Rwanda","152"
"South Asia","108"
"Saudi Arabia","103"
"Sudan","77.77"
"Senegal","82.59"
"Singapore","99.58"
"Solomon Islands","84.74"
"Sierra Leone","153"
"El Salvador","91.05"
"San Marino","95.12"
"Serbia","98.9"
"South Sudan","81.86"
"Suriname","65.98"
"Slovakia","100"
"Slovenia","101"
"Sweden","116"
"Swaziland","114"
"Saint Maarten","257"
"Seychelles","97.14"
"Syria","79.65"
"Chad","91.77"
"Togo","120"
"Thailand","103"
"East Timor","123"
"Tonga","103"
"Tunisia","104"
"Turkey","102"
"Tuvalu","102"
"Tanzania","93.07"
"Uruguay","109"
"United States","96.97"
"Uzbekistan","93.49"
"St Vincent and the Grenadines","110"
"Venezuela","108"
"British Virgin Islands","101"
"Vietnam","122"
"Vanuatu","107"
"World","102"
"Samoa","102"
"Yemen","83.9"
"South Africa","96.1"
"Zimbabwe","95.79"
